iter	Passed	Remaining
483	467635	498553
484	468622	497609
485	469606	496662
486	470421	495535
487	471531	494721
488	472476	493732
489	473502	492829
490	474538	491934
491	475518	490982
492	476387	489915
493	477294	488888
494	478317	487980
495	479291	487021
496	480263	486061
497	481141	485006
498	482227	484160
499	483123	483123
500	484034	482101
501	485137	481272
502	486079	480281
503	487116	479384
504	488166	478500
505	489189	477587
506	490139	476605
507	491017	475552
508	492163	474758
509	493299	473954
510	494077	472806
511	494876	471679
512	495964	470828
513	496930	469860
514	497979	468971
515	499013	468067
516	500180	467286
517	501287	466449
518	502306	465528
519	503364	464644
520	504333	463676
521	505331	462736
522	506424	461882
523	507390	460911
524	508193	459793
525	509178	458841
526	510353	458058
527	511304	457075
528	512210	456051
529	513011	454934
530	513932	453925
531	514971	453020
532	516054	452153
533	517044	451203
534	518349	450527
535	519163	449425
536	520240	448550
537	521199	447572
538	522268	446689
539	523251	445732
540	524177	444727
541	525240	443838
542	526477	443094
543	527640	442287
544	528533	441252
545	529428	440220
546	530503	439338
547	531625	438494
548	532617	437542
549	533416	436431
550	534650	435676
551	535803	434854
552	536803	433907
553	538030	433143
554	538995	432167
555	540080	431287
556	540836	430144
557	541870	429223
558	542958	428345
559	543691	427185
560	544691	426238
561	545696	425293
562	546646	424306
563	547598	423320
564	548501	422297
565	549717	421514
566	550665	420526
567	551863	419727
568	552819	418743
569	553928	417876
570	554961	416950
571	555865	415927
572	556895	414999
573	557826	413996
574	558869	413077
575	559886	412138
576	560866	411172
577	561775	410154
578	562561	409047
579	563536	408078
580	564712	407254
581	565613	406230
582	566464	405172
583	567234	404057
584	568150	403046
585	569044	402021
586	570036	401064
587	570864	399993
588	572060	399179
589	573024	398203
590	573853	397133
591	574713	396086
592	575737	395152
593	576655	394144
594	577489	393081
595	578358	392041
596	579716	391332
597	580761	390411
598	581618	389364
599	582466	388310
600	583312	387257
601	584189	386225
602	584873	385066
603	585803	384069
604	586659	383025
605	587582	382025
606	588617	381098
607	589525	380088
608	590576	379171
609	591471	378153
610	592379	377144
611	593395	376205
612	594354	375228
613	595257	374217
614	596074	373152
615	596912	372101
616	597897	371142
617	598747	370099
618	599654	369092
619	600506	368052
620	601408	367043
621	602442	366114
622	603232	365037
623	604279	364116
624	605047	363028
625	605944	362018
626	606918	361053
627	607847	360062
628	608668	359007
629	609611	358025
630	610579	357058
631	611395	356002
632	612236	354961
633	613332	354068
634	614201	353044
635	615060	352015
636	616112	351097
637	617150	350170
638	618112	349199
639	618888	348124
640	620072	347279
641	620961	346268
642	622048	345367
643	622886	344328
644	623790	343326
645	624823	342395
646	625862	341467
647	627050	340619
648	628082	339687
649	629094	338743
650	630270	337886
651	630971	336776
652	632064	335875
653	633208	335000
654	634411	334155
655	635315	333153
656	636385	332237
657	637391	331288
658	638457	330370
659	639488	329433
660	640338	328403
661	641398	327481
662	642335	326496
663	643405	325578
664	644094	324468
665	645000	323468
666	645960	322495
667	646806	321466
668	647588	320406
669	648379	319351
670	649472	318444
671	650441	317477
672	651320	316466
673	652133	315423
674	652953	314384
675	653852	313384
676	654825	312420
677	655877	311493
678	656927	310565
679	658092	309690
680	659167	308773
681	660096	307787
682	661069	306821
683	662047	305858
684	662930	304851
685	663850	303861
686	664821	302895
687	665833	301947
688	666951	301047
689	668152	300184
690	668985	299155
691	669820	298128
692	670640	297094
693	671497	296078
694	672547	295146
695	673528	294184
696	674425	293186
697	675262	292162
698	676169	291168
699	677208	290232
700	678075	289221
701	679113	288284
702	679862	287224
703	680890	286283
704	681754	285273
705	682677	284287
706	683603	283303
707	684504	282309
708	685382	281306
709	686494	280399
710	687264	279352
711	687978	278283
712	688786	277253
713	689545	276204
714	690361	275179
715	691534	274295
716	692563	273354
717	693611	272421
718	694614	271469
719	695588	270506
720	696632	269570
721	697626	268615
722	698561	267636
723	699383	266615
724	700231	265605
725	701079	264594
726	702046	263629
727	702741	262562
728	703634	261570
729	704241	260472
730	705140	259483
731	706153	258537
732	707102	257566
733	707981	256570
734	709077	255653
735	709954	254657
736	710864	253673
737	711810	252702
738	712772	251736
739	713860	250815
740	714733	249819
741	715688	248851
742	716588	247864
743	717443	246862
744	718296	245859
745	719371	244933
746	720262	243944
747	721211	242975
748	722056	241970
749	722995	240998
750	724048	240064
751	725119	239135
752	725985	238138
753	726919	237164
754	727934	236217
755	728988	235282
756	730010	234336
757	730914	233352
758	731861	232382
759	732887	231438
760	733588	230391
761	734280	229342
762	735161	228352
763	735932	227329
764	736882	226362
765	737663	225343
766	738599	224372
767	739701	223451
768	740722	222505
769	741669	221537
770	742585	220560
771	743638	219623
772	744483	218625
773	745283	217615
774	746229	216647
775	746973	215621
776	747796	214618
777	748758	213656
778	749666	212678
779	750559	211696
780	751506	210729
781	752457	209764
782	753372	208789
783	754488	207869
784	755589	206944
785	756717	206027
786	757676	205063
787	758521	204069
788	759532	203119
789	760392	202129
790	761400	201179
791	762529	200260
792	763453	199287
793	764585	198368
794	765639	197429
795	766440	196424
796	767433	195469
797	768245	194468
798	768988	193450
799	770204	192551
800	771253	191609
801	772269	190660
802	773262	189704
803	774218	188739
804	775043	187743
805	776026	186785
806	776846	185788
807	777933	184855
808	778894	183892
809	779801	182916
810	780652	181927
811	781665	180976
812	782594	180006
813	783553	179042
814	784567	178092
815	785389	177097
816	786351	176134
817	787395	175190
818	788360	174228
819	789164	173231
820	790006	172242
821	790776	171238
822	791846	170300
823	792872	169351
824	793808	168383
825	794691	167404
826	795634	166438
827	796382	165432
828	797280	164457
829	798232	163493
830	799232	162539
831	800048	161548
832	801128	160610
833	802095	159649
834	802916	158660
835	803900	157702
836	804910	156750
837	805890	155792
838	806898	154839
839	807940	153893
840	808762	152905
841	809701	151939
842	810586	150963
843	811497	149992
844	812398	149019
845	813643	148110
846	814846	147191
847	815790	146226
848	816655	145247
849	817617	144285
850	818540	143316
851	819548	142362
852	820346	141372
853	821185	140389
854	822297	139453
855	823092	138464
856	823974	137489
857	825362	136598
858	826106	135600
859	827148	134652
860	827805	133641
861	828732	132674
862	829728	131718
863	830553	130735
864	831429	129760
865	832141	128760
866	833175	127811
867	833962	126823
868	834974	125870
869	836001	124919
870	837155	123987
871	837886	122992
872	838968	122049
873	840031	121102
874	840708	120101
875	841379	119099
876	842125	118108
877	842943	117128
878	843952	116175
879	844780	115197
880	845887	114257
881	846588	113262
882	847523	112299
883	848313	111317
884	849475	110383
885	850312	109408
886	851363	108460
887	852334	107501
888	853215	106532
889	854202	105575
890	855110	104609
891	855934	103633
892	856822	102665
893	857903	101720
894	858967	100772
895	859935	99813
896	860857	98849
897	861769	97884
898	862727	96924
899	863547	95949
900	864518	94991
901	865432	94027
902	866519	93081
903	867510	92124
904	868484	91166
905	869526	90215
906	870693	89277
907	871713	88323
908	872550	87350
909	873470	86387
910	874249	85409
911	875242	84453
912	876473	83519
913	877456	82561
914	878515	81610
915	879625	80664
916	880524	79698
917	881800	78766
918	882923	77820
919	883938	76864
920	884944	75907
921	885761	74934
922	886744	73975
923	887712	73015
924	888639	72051
925	889604	71091
926	890319	70111
927	891315	69153
928	892195	68187
929	893180	67228
930	894022	66259
931	895081	65306
932	895993	64342
933	896838	63374
934	897677	62405
935	898551	61439
936	899635	60487
937	900426	59516
938	901180	58543
939	902192	57586
940	903171	56628
941	904085	55665
942	905017	54704
943	905975	53744
944	906841	52779
945	907584	51807
946	908401	50839
947	909238	49873
948	910099	48909
949	910995	47947
950	911819	46981
951	912635	46015
952	913452	45049
953	914303	44085
954	915048	43117
955	915785	42149
956	916502	41180
957	917228	40212
958	917983	39246
959	918768	38282
960	919475	37314
961	920428	36357
962	921224	35394
963	921986	34431
964	922697	33465
965	923346	32498
966	924064	31534
967	924885	30574
968	925595	29611
969	926154	28643
970	926988	27685
971	927725	26724
972	928350	25761
973	929032	24799
974	929714	23838
975	930461	22880
976	931160	21920
977	931908	20963
978	932441	20001
979	932970	19040
980	933444	18078
981	933852	17117
982	934280	16157
983	934783	15199
984	935225	14242
985	935588	13284
986	936125	12329
987	936513	11374
988	936886	10420
989	937209	9466
990	937444	8513
991	937662	7561
992	937853	6611
993	938034	5662
994	938132	4714
995	938235	3768
996	938331	2823
997	938442	1880
998	938565	939
999	938679	0

552	0
