iter	MultiClass
458	0.2285474894
459	0.2280995618
460	0.22760876034461	0.22743292244462	0.22684629844463	0.22666984934464	0.22643450494465	0.226305449
466	0.2261184587
467	0.2259396249
468	0.2258502908
469	0.225701775
470	0.2254953596
4471	0.2166524099472	0.2248216396
473	0.2242838886
474	0.2242012116
475	0.2162509065
476	0.216171952
477	0.2158843789
4478	0.2231827981479	0.2154427116
480	0.2151255965
481	0.2148890076
482	0.2147033659
483	0.2144633801
484	0.2141628167
485	0.2138123389
486	0.2134982803
487	0.2133631243
488	0.2128933711
489	0.2127050053
490	0.21246825
491	0.2123376836
492	0.2121191177
493	0.2120260543
494	0.211846857
495	0.2116186473
496	0.2114728921
497	0.2112751736
498	0.211198554
499	0.2110755494
500	0.2107554283
501	0.2105666416
502	0.2104031992
503	0.2102774319
504	0.2100985946
505	0.2099345811
506	0.2096930667
507	0.2093982869
508	0.2089887091
509	0.2085933336
510	0.2084724745
511	0.2082702802
512	0.2080875051
513	0.2076081731
514	0.2073038673
515	0.2070333742
516	0.2069016546
517	0.2067757232
518	0.2066651993
519	0.206485024
520	0.206420549
521	0.2062107995
522	0.205913788
523	0.2057110512
524	0.2053436274
525	0.205188672
526	0.204792955
527	0.2045735536
528	0.2043730667
529	0.2039030813
530	0.2037214436
531	0.2036540767
532	0.2034836857
533	0.2031736641
534	0.2029133977
535	0.2025654896
536	0.2024756785
537	0.2023188743
538	0.2021974986
539	0.2019784653
540	0.2018513714
541	0.2014722957
542	0.2012375488
543	0.2011734873
544	0.2007890734
545	0.2006205766
546	0.2004896458
547	0.2003384971
548	0.2002526358
549	0.2000091035
550	0.1997314735
551	0.1995248728
552	0.1992486446
553	0.1988200277
554	0.1986548438
555	0.1981920911
556	0.1980980272
557	0.1979560097
558	0.1977213209
559	0.1974459991
560	0.1970776813
561	0.1967456922
562	0.1962125854
563	0.1957943731
564	0.1957214023
565	0.1954333593
566	0.1950246352
567	0.1948758397
568	0.1947549239
569	0.1944457008
570	0.1943681407
571	0.1940726923
572	0.19390012
573	0.1933285371
574	0.1932460962
575	0.1931530704
576	0.1926972726
577	0.1926289622
578	0.1924230531
579	0.1923109488
580	0.1922141684
581	0.1921668636
582	0.1918902746
583	0.1913316776
584	0.1910008246
585	0.1908927634
586	0.1907903942
587	0.1903276637
588	0.1899856076
589	0.1898964829
590	0.189781571
591	0.1894884049
592	0.1894307058
593	0.1893829571
594	0.1893072439
595	0.1890324118
596	0.1888729015
597	0.1884430266
598	0.1882710265
599	0.1882092692
600	0.1879692031
601	0.1877002297
602	0.187520892
603	0.1873612546
604	0.1871565934
605	0.1869560332
606	0.186570422
607	0.1862311842
608	0.1861694292
609	0.1859133451
610	0.1858315706
611	0.1857200647
612	0.1855814152
613	0.1853730814
614	0.1851753978
615	0.1849662223
616	0.184905841
617	0.1848257014
618	0.1845725821
619	0.1843514404
620	0.1841314933
621	0.1839832318
622	0.1839415329
623	0.1838859587
624	0.1836637226
625	0.1834483323
626	0.1832304915
627	0.1829452333
628	0.1828020482
629	0.1825541323
630	0.1822960773
631	0.1818594224
632	0.1816987353
633	0.1815854888
634	0.181406864
635	0.1812743648
636	0.1810578157
637	0.1809901588
638	0.180858444
639	0.1807627584
640	0.180498415
641	0.1801967874
642	0.1801246816
643	0.1798900783
644	0.1798371456
645	0.1795277
646	0.1793357952
647	0.1790045715
648	0.1789511464
649	0.1788025277
650	0.1785272102
651	0.1783787605
652	0.178166011
653	0.1778935116
654	0.1774732373
655	0.1771938535
656	0.1768343286
657	0.1767912427
658	0.176623371
659	0.1763352528
660	0.1762701619
661	0.1761689839
662	0.1759305766
663	0.1758883074
664	0.1757543523
665	0.1756473541
666	0.1755505999
667	0.1754837559
668	0.1752370468
669	0.1749635485
670	0.1747134843
671	0.1744879428
672	0.1742886107
673	0.1739529772
674	0.1738375571
675	0.1735914859
676	0.1733213284
677	0.1732516666
678	0.1730962982
679	0.1730163269
680	0.1728546916
681	0.1726387972
682	0.1725662999
683	0.1722801066
684	0.1722077959
685	0.1719090885
686	0.1713048461
687	0.1711452421
688	0.1710532207
689	0.1709282591
690	0.1707184132
691	0.1706559397
692	0.1705975195
693	0.1705079187
694	0.1704461591
695	0.1703635557
696	0.1700275015
697	0.1699071365
698	0.1698004303
699	0.1695980784
700	0.1695342007
701	0.1694719807
702	0.1691611308
703	0.1689839775
704	0.1688938299
705	0.1684229397
706	0.1681829931
707	0.1679451393
708	0.1677622205
709	0.1675608576
710	0.1673512682
711	0.1672790451
712	0.1670981133
713	0.1670368302
714	0.1668977784
715	0.1666910437
716	0.1665560705
717	0.1664303078
718	0.1663433106
719	0.1663006507
720	0.166251605
721	0.1659992074
722	0.1658942789
723	0.165323676
724	0.1652283075
725	0.1651315975
726	0.164721667
727	0.1646080039
728	0.1644239379
729	0.1642087314
730	0.1641361394
731	0.1639504123
732	0.1637658234
733	0.1635924187
734	0.1631004227
735	0.1630548763
736	0.1627554114
737	0.1626471907
738	0.1620744812
739	0.1620343956
740	0.1616892051
741	0.1616589871
742	0.1614968379
743	0.1614388059
744	0.1613854064
745	0.1613115091
746	0.1612316988
747	0.1611230038
748	0.1610667014
749	0.1609103029
750	0.1608534363
751	0.1608121737
752	0.1607757273
753	0.1604866491
754	0.1603886814
755	0.1602813804
756	0.1601618074
757	0.1601191266
758	0.1599805146
759	0.1598535963
760	0.1598240072
761	0.1597515957
762	0.1594329759
763	0.1593665669
764	0.1592306972
765	0.1589106806
766	0.1585094614
767	0.1584538159
768	0.1582341668
769	0.1578648618
770	0.1578163954
771	0.1574868082
772	0.1572275768
773	0.1569731667
774	0.1568679726
775	0.156783272
776	0.1566645858
777	0.156515446
778	0.1562818153
779	0.156234482
780	0.1561023144
781	0.1556875331
782	0.1556266986
783	0.1555753691
784	0.1554628926
785	0.1552759153
786	0.1551049432
787	0.1550130847
788	0.154944325
789	0.1548448081
790	0.1546700393
791	0.154584401
792	0.1543440374
793	0.1541428586
794	0.1539665248
795	0.1539397079
796	0.1537942739
797	0.1537537817
798	0.1536203785
799	0.1534607786
800	0.1534143342
801	0.1532425997
802	0.1531984866
803	0.1530416563
804	0.1529916266
805	0.1528466721
806	0.1527607376
807	0.15258158
808	0.1523738589
809	0.1522255495
810	0.1520360059
811	0.1518458777
812	0.1518156699
813	0.1516223463
814	0.1514692948
815	0.1513513462
816	0.1512355526
817	0.1510625634
818	0.1509395113
819	0.1506360787
820	0.150509776
821	0.1503031597
822	0.1501634771
823	0.149958617
824	0.1495404929
825	0.149441378
826	0.1489721679
827	0.1488675035
828	0.1485085723
829	0.1483995871
830	0.148284029
831	0.1481820912
832	0.1478850921
833	0.1477949514
834	0.147667227
835	0.1475630247
836	0.1474987391
837	0.1472741454
838	0.1472335451
839	0.147185706
840	0.1470365488
841	0.1468263796
842	0.1467940225
843	0.1465710921
844	0.1464579827
845	0.1462996047
846	0.1462392141
847	0.1461292157
848	0.1456759722
849	0.1455073499
850	0.1454213398
851	0.1453793476
852	0.1452139646
853	0.1451412514
854	0.1449667711
855	0.1449030796
856	0.1448418213
857	0.1447908513
858	0.1446006586
859	0.1445218179
860	0.1442271147
861	0.1441889092
862	0.1438905002
863	0.1438108511
864	0.1437062726
865	0.1435670493
866	0.1433855409
867	0.1432653154
868	0.1430922403
869	0.1430689345
870	0.1429333282
871	0.142800274
872	0.142697761
873	0.142606785
874	0.1424845368
875	0.1423765804
876	0.1419784686
877	0.1419442374
878	0.1417098506
879	0.1415832176
880	0.1415317873
881	0.1414973927
882	0.1413986649
883	0.1411623872
884	0.1410130152
885	0.1409220058
886	0.1408227932
887	0.1406848474
888	0.1405785362
889	0.1405395046
890	0.1404510455
891	0.1402405414
892	0.1401791745
893	0.1400487765
894	0.1399337095
895	0.1399014951
896	0.1398124622
897	0.1397553872
898	0.1395846516
899	0.1393272163
900	0.1391667179
901	0.1389081693
902	0.1387189453
903	0.1386512056
904	0.1385365017
905	0.1384288445
906	0.1383343367
907	0.1380904398
908	0.1380375486
909	0.1378152622
910	0.1377335568
911	0.1375353392
912	0.1374820126
913	0.137447708
914	0.1372436859
915	0.1371765011
916	0.1371039868
917	0.1369955975
918	0.1368736317
919	0.136707203
920	0.1365714096
921	0.1365376703
922	0.1364117414
923	0.1363096801
924	0.1362645761
925	0.1362150891
926	0.1361908401
927	0.1361067888
928	0.1359536912
929	0.1359338438
930	0.1357799647
931	0.1357540157
932	0.1356410667
933	0.1355815176
934	0.1355485009
935	0.1354325568
936	0.1352594728
937	0.1350644327
938	0.1350329847
939	0.1348272492
940	0.1347038369
941	0.1346025839
942	0.1345524188
943	0.1344425525
944	0.1342718732
945	0.1341692775
946	0.1341054025
947	0.1340064793
948	0.1339287233
949	0.1336954547
950	0.1335994667
951	0.1335434573
952	0.1333893943
953	0.1333582081
954	0.1332213339
955	0.1331051561
956	0.1330020062
957	0.1328124994
958	0.1327815211
959	0.1327073144
960	0.1326837678
961	0.1325586379
962	0.132453692
963	0.1323961775
964	0.1321730237
965	0.1320292258
966	0.1319845416
967	0.1319502774
968	0.131854926
969	0.1317759602
970	0.1316540859
971	0.1316243861
972	0.1314423046
973	0.1313709477
974	0.1312630966
975	0.1311182054
976	0.1310699039
977	0.1310310962
978	0.130971544
979	0.1309158706
980	0.130875983
981	0.130608435
982	0.1302760014
983	0.1301810403
984	0.1300803929
985	0.1299979706
986	0.1298035709
987	0.1297766308
988	0.129708844
989	0.1294340671
990	0.1293794975
991	0.129263544
992	0.1291718963
993	0.1290989685
994	0.1288646833
995	0.1287893366
996	0.1287407859
997	0.1286374948
998	0.1286046825
999	0.1285266558
1373538543
